GEOID,sTract,Pct_ViolentCrime
14000US17031831100,831100,0.0053094
14000US17031831200,831200,0.0060729
14000US17031831300,831300,0.0103199
14000US17031831400,831400,0.0136293
14000US17031831500,831500,0.0038747
14000US17031831600,831600,0.0019745
14000US17031831700,831700,0.0029513
14000US17031831800,831800,0.0016155
14000US17031831900,831900,0.0004214
14000US17031832000,832000,0.0086022
14000US17031832100,832100,0.0025365
14000US17031832200,832200,0.0014301
14000US17031832300,832300,0.0020931
14000US17031832400,832400,0.0029145
14000US17031832500,832500,0.0021262
14000US17031832600,832600,0.0009066
14000US17031832900,832900,0.0018948
14000US17031833000,833000,0.0107105
14000US17031833100,833100,0.0018008
14000US17031833300,833300,0.0038889
14000US17031833900,833900,0.0217786
14000US17031834000,834000,0.0152561
14000US17031834200,834200,0.0135802
14000US17031834300,834300,0.0114719
14000US17031834400,834400,0.01
14000US17031834500,834500,0.0332103
14000US17031834600,834600,0.0209814
14000US17031834700,834700,0.0347985
14000US17031834800,834800,0.0150463
14000US17031834900,834900,0.0327186
14000US17031835000,835000,0.0161531
14000US17031835100,835100,0.0071429
14000US17031835200,835200,0.0007402
14000US17031835500,835500,0.0165344
14000US17031835600,835600,0.0243902
14000US17031835800,835800,0.0086455
14000US17031835900,835900,0.015639
14000US17031836000,836000,0.0170213
14000US17031836100,836100,0.0354665
14000US17031836300,836300,0.00199
14000US17031836400,836400,0.0081615
14000US17031836500,836500,0.0129151
14000US17031836600,836600,0.0119789
14000US17031836700,836700,0.0218265
14000US17031836800,836800,0.0236814
14000US17031836900,836900,0.0226202
14000US17031837000,837000,0.015562
14000US17031837100,837100,0.0113409
14000US17031837300,837300,0.0198142
14000US17031837400,837400,0.022187
14000US17031837800,837800,0.0138889
14000US17031838000,838000,0.0099269
14000US17031838100,838100,0.0064668
14000US17031838200,838200,0.0081633
14000US17031838300,838300,0.0035587
14000US17031838600,838600,0.0200873
14000US17031838700,838700,0.0370645
14000US17031838800,838800,0.0217847
14000US17031839000,839000,0.0011617
14000US17031839100,839100,0.0127298
14000US17031839200,839200,0.0024938
14000US17031839500,839500,0.0107672
14000US17031839600,839600,0.0118413
14000US17031839700,839700,0.002578
14000US17031839800,839800,0.0045784
14000US17031839900,839900,0.0041652
14000US17031840000,840000,0.0018232
14000US17031840100,840100,0.0013357
14000US17031840200,840200,0.004635
14000US17031840300,840300,0.0081605
14000US17031840400,840400,0.0034746
14000US17031840700,840700,0.0124769
14000US17031840800,840800,0.0040595
14000US17031841100,841100,0.0025947
14000US17031841200,841200,0.0052183
14000US17031841300,841300,0.0079736
14000US17031841400,841400,0.0226337
14000US17031841500,841500,0.0331557
